kind	CC0	CC32	program	name
melodic	1	0	120	Gt.Cut Noise
melodic	2	0	120	String Slap
melodic	0	0	121	Breath Noise
melodic	1	0	121	Fl.Key Click
melodic	0	0	122	Seashore
melodic	1	0	122	Rain
melodic	2	0	122	Thunder
melodic	3	0	122	Wind
melodic	4	0	122	Stream
melodic	5	0	122	Bubble
melodic	0	0	123	Bird
melodic	1	0	123	Dog
melodic	2	0	123	Horse-Gallop
melodic	3	0	123	Bird 2
melodic	0	0	124	Telephone 1
melodic	1	0	124	Telephone 2
melodic	2	0	124	DoorCreaking
melodic	3	0	124	Door
melodic	4	0	124	Scratch
melodic	5	0	124	Wind Chimes
melodic	0	0	125	Helicopter
melodic	1	0	125	Car-Engine
melodic	2	0	125	Car-Stop
melodic	3	0	125	Car-Pass
melodic	4	0	125	Car-Crash
melodic	5	0	125	Siren
melodic	6	0	125	Train
melodic	7	0	125	Jetplane
melodic	8	0	125	Starship
melodic	9	0	125	Burst Noise
melodic	0	0	126	Applause
melodic	1	0	126	Laughing
melodic	2	0	126	Screaming
melodic	3	0	126	Punch
melodic	4	0	126	Heart Beat
melodic	5	0	126	Footsteps
melodic	0	0	127	Gun Shot
melodic	1	0	127	Machine Gun
melodic	2	0	127	Lasergun
melodic	3	0	127	Explosion
drumkit	0	0	0	Standard
drumkit	0	0	8	Room
drumkit	0	0	16	Power
drumkit	0	0	24	Electronic
drumkit	0	0	25	TR-808
drumkit	0	0	32	Jazz
drumkit	0	0	40	Brush
drumkit	0	0	48	Orchestra
drumkit	0	0	56	SFX
